Name,Address,Contact
George Brown - Elmlea,50 Hadrian DrWard: Etobicoke North,"Phone:Charlotte De Souza, 416-535-6701"
George Brown - Fashion District/Ryerson Child Care Centre,96 Denison Ave (Dundas W. / Bathurst)Ward: Spadina-Fort York,"Phone:Laura Alexopoulos, 416-415-4616"
George Brown - Nelson Mandela Child Care Centre,440 Shuter St (Yonge / Dundas)Ward: Toronto Centre,"Phone:Raizell Slobodsky, 416-415-2450"
George Brown - Richmond Adelaide Childcare Centre,"130 Adelaide St W ,Mezzanine Level (York St. / Adelaide St.)Ward: Spadina-Fort York","Phone:Jacqueline Cook, 416-415-2453"
George Brown - Rose Avenue Child Care Centre,675 Ontario St (Parliament / Wellesley)Ward: Toronto Centre,"Phone:Andrea Prifti, 416-922-8827"
George Webster Jr YMCA,50 Chapman Ave (Chapman Ave / Avis Cres)Ward: Beaches-East York,"Phone:Jennifer Armstrong, 416-288-0997"
Gerrard Early Learning Centre,163 Gerrard St E (Gerrard St. E. / Jarvis)Ward: Toronto Centre,"Phone:Wei Wei Wang, 416-926-2208"
Gibraltar Point Day Nursery Inc.,"Every Child Belongs Resource Consultation Staff, Vivian Lin, 416-603-1827, Ext. 4221, is available to help this centre and the family when a child has anextra supportneed.","Phone:Monkhouse Jessica, 416-393-1907"
Gilder Early Learning & Child Care Centre,31 Gilder Dr (Midland / Eglinton)Ward: Scarborough Centre,"Phone:Carolina Lovato-Mejia, 416-392-5696"
Gilder Satellite Early Learning & Child Care Centre,47 Gilder Dr (Midland / Eglinton)Ward: Scarborough Centre,"Phone:Carolina Lovato-Mejia, 416-392-3743"
Givins/Shaw School Community Day Care,49 Givins St (Queen W. / Shaw)Ward: Spadina-Fort York,"Phone:Jessica Adams, 416-531-4628"
Glamorgan School Age YMCA,51 Antrim Cres (Kennedy / Hwy. 401)Ward: Scarborough Centre,"Phone:Jameelah Cayenne, 647-438-7124"
Gledhill Avenue Child Care Centre,2 Gledhill Ave (Danforth Ave. / Woodbine)Ward: Beaches-East York,"Phone:Felicia Nasser, 647-548-8340"
Glen Cameron For Kids,211 Cameron Ave (Yonge / Sheppard)Ward: Willowdale,"Phone:Mary Davis, 416-225-5788"
"Glen Ravine Junior Public School, Extended Day Program",11 Gadsby Dr (Eglinton Ave E & Brimley Rd)Ward: Scarborough Centre,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Gold Circle Early Childhood Day Care Centre,25 Poynter Dr (Islington / The Westway)Ward: Etobicoke Centre,"Phone:Halrick Campbell, 416-241-2000"
Golf Road School Child Care Centre Inc.,730 Scarborough Golf Club Rd (Scarb. Golf Club / Lawrence E.)Ward: Scarborough-Guildwood,"Phone:Morsal Morsal, 416-289-1061"
Good Shepherd Day Care Centre,2230 Birchmount Rd (Birchmount / Sheppard E.)Ward: Scarborough-Agincourt,"Phone:June Cheng, 416-293-5631"
Grace Christian School - Day Nursery,201 Tempo Ave (Victoria Park / Finch E.)Ward: Don Valley North,"Phone:Mee Fung Ng, 416-502-1540"
Grace Church On-The-Hill Child Care Centre,300 Lonsdale Rd (Spadina / St. Clair W.)Ward: Toronto-St. Paul's,"Phone:Katy Kabiri, 416-932-3502"
Grand Avenue Montessori School - 600,600 The Queensway (Queensway / Park Lawn Rd.)Ward: Etobicoke-Lakeshore,"Phone:Carmen Shave, 416-706-7224"
Grand Avenue Montessori School - 602,602 The Queensway (Queensway / Park Lawn Rd.)Ward: Etobicoke-Lakeshore,"Phone:Katherine Shave-Venture, 416-247-9485"
Graydon Hall Child Care Services In Don Valley Business Park,"150 Ferrand Dr ,Suite 102 (Don Mills / Eglinton E.)Ward: Don Valley East","Phone:Charlene Maikantis, 416-429-5444"
Green Apple Kids,3605 Dundas St W (Dundas W. / Jane)Ward: Parkdale-High Park,"Phone:Linda Martin, 416-570-6096"
Greenland Recreational After School Program,15 Greenland Rd (The Donway East / Don Mills)Ward: Don Valley East,"Phone:Kathy Allagas Da Silva, 416-444-7427"
Greenwood Montessori School,38 Payzac Ave (Kingston / Galloway)Ward: Scarborough-Guildwood,"Phone:Elizabeth Afolabi-Aiyelokun, 416-281-9208"
"Grey Owl Junior Public School, Extended Day Program",150 Wickson Trail (Neilson Rd & Sheppard Ave E)Ward: Scarborough-Rouge Park,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Growing Tykes Child Care,4105 Lawrence Ave E (Lawrence E. / Galloway)Ward: Scarborough-Guildwood,"Phone:Andrea Bacon, 416-438-5989"
Growing Tykes Learning Centre,112 Sedgemount Dr (Markham Rd / Ellesmere)Ward: Scarborough-Guildwood,"Phone:Angela Ellis, 416-438-4088"
Growing Tykes Learning Centre (Dundas Street West),5150 Dundas St W (Dundas W. / Kipling)Ward: Etobicoke-Lakeshore,"Phone:Michelle Arsenault, 416-207-9259"
Growing Tykes Learning Centre  910 Markham Road,910 Markham Rd (Markham / Ellesmere)Ward: Scarborough-Guildwood,"Phone:Laura Derewonko, 416-438-4088"
Guildwood Child Care,3969 Kingston Rd (Guildwood Go Train Station)Ward: Scarborough-Guildwood,"Phone:Cynthia Bright, 416-261-4476"
Gulfstream Day Care Centre,20 Gulfstream Rd (Weston Rd. / Sheppard)Ward: Humber River-Black Creek,"Phone:Sandra Buttarazzi, 416-746-5714"
Happy Day Child Care Centre,676 Jane St (Jane / St. Clair W.)Ward: York South-Weston,"Phone:Jodie Nowack, 416-528-1469"
Happyland Childcare Learning Centre,225 Gosford BlvdWard: Humber River-Black Creek,"Phone:Natalia Cojuhari, 416-661-7227"
Harmony Childcare Centre,124 Northcliffe Blvd (Dufferin / St. Clair)Ward: Davenport,"Phone:Susie Pascuzzi, 416-656-8902"
Hawthorne-On-Essex Day Care,50 Essex St (Bloor W. / Christie)Ward: University-Rosedale,"Phone:Elisha Gauthier, 416-393-9291"
Hawthorn School Day Care,101 Scarsdale Rd (Leslie St / York Mills Rd)Ward: Don Valley East,"Phone:Chandra Kanthi Tantrege, 416-444-3054"
Head Start Montessori,"2235 Sheppard Ave E ,105Ward: Don Valley North","Phone:Naureen Shah, 416-756-7300"
Heart Beatz Child Care - Cedarbrook Site,56 Nelson StWard: Scarborough-Guildwood,"Phone:Shiromie Ganesh, 647-808-1439"
Heart Beatz Child Care - Cliffcrest Site,2938 Eglinton Ave E (Eglinton E. / McCowan Rd.)Ward: Scarborough Centre,"Phone:Irene Sheridan, 416-267-6293"
Heart Beatz Child Care - Solaris Site,"Every Child Belongs Resource Consultation Staff, Elaine Santos, 647-262-8110, is available to help this centre and the family when a child has anextra supportneed.","Phone:Ruth Mitchell, 416-321-1719"
Heart Beatz - Halbert Child Care Site,25 Halbert Place (McCowan Rd/Kingston Rd)Ward: Scarborough Southwest,"Phone:Shiromie Ganesh, 647-808-1439"
Heath And Ferndale Child Care Program,23 Ferndale Ave (Yonge / St. Clair)Ward: Toronto-St. Paul's,"Phone:Kim Elkas, 416-961-9678"
Heritage Child Care & Early Learning Centre,"This non-profit, licensed child care,serves children 1 year 6 months to 12 years.It is located in St. Rene Goupil Catholic School.A child carefee subsidymay be available to help you with the cost of child care.This location participates in theCanada-Wide Early Learning and Child Caresystem.","Phone:Xu Fan Lisa Lin, 647-436-6670"
Heritage Child Care & Early Learning - Milliken Site,"Every Child Belongs Resource Consultation Staff, Chelsea McLean, 416-356-1585, is available to help this centre and the family when a child has anextra supportneed.","Phone:Anna Ginam Lee, 647-825-7528"
Hester How Early Learning Centre,"100 Queen St W ,1st Floor East Tower (Queen / Bay)Ward: Spadina-Fort York","Phone:Ingrid Ivis, 416-392-7981"
High Park Early Learning Centre,17 High Park Ave (Bloor / High Park Ave.)Ward: Parkdale-High Park,"Phone:Marsha Adams, 416-760-9958"
High Park Gardens Montessori School,35 High Park Gdns (Parkside Dr & Howard Park Ave)Ward: Parkdale-High Park,"Phone:Kaitlyn Lubniewski, 416-763-6097"
High Park Jr YMCA,2665 Dundas St W (Dundas / Annette)Ward: Parkdale-High Park,"Phone:Melissa De Sousa, 416-763-1195"
Highview Wilson Child Care,22 Highview Ave (Keele / Hwy. 401)Ward: York Centre,"Phone:Shanika Richards, 416-245-6221"
Hillcrest Progressive School,59 Plymbridge Rd (Yonge / York Mills)Ward: Don Valley West,"Phone:Gianna Michielli, 416-489-8355"
Hillmount Child Care,245 McNicoll Ave (Don Mills / Finch)Ward: Don Valley North,"Phone:Jenny Lung, 416-494-0877"
Hillside Montessori School,76 Anglesey Blvd (Islington / Rathburn)Ward: Etobicoke Centre,"Phone:Jennifer Chu, 416-846-1470"
Hilltop Daycare Centre,160 North Bonnington Ave (Kennedy / St. Clair)Ward: Scarborough Southwest,"Phone:Gail Walker, 416-266-1085"
Hippo Nursery School,729 St Clair Ave W (St. Clair / Christie)Ward: Toronto-St. Paul's,"Phone:Joanna Gillespie, 416-651-6718"
Holland-Bloorview Kids Rehab. - (Play & Learn Nursery),666 Eglinton Ave W (Eglinton W. / Spadina)Ward: Eglinton-Lawrence,"Phone:Silvia Souto, 416-782-1105"
Holland-Bloorview Kids Rehab. (Scarborough Site),1 Wayne Ave (Lawrence E. / Warden)Ward: Scarborough Centre,"Phone:Michelle Weir, 416-759-8079"
Hollywood All-Stars Child Care,360 Hollywood Ave (Bayview / Sheppard)Ward: Willowdale,"Phone:Angela Iantorno, 416-221-7827"
Holy Family Childcare Centre-Queen Victoria,141 Close Ave (Jameson/King West)Ward: Parkdale-High Park,"Phone:Naresha Ali, 416-524-2052"
Holy Spirit Jr YMCA,3530 Sheppard Ave E (Birchmount / Sheppard)Ward: Scarborough-Agincourt,"Phone:Ranu Singh, 416-913-0958"
Holy Trinity YMCA,6 Colonel Samuel Smith Park Dr (Kipling / Lake Shore Blvd W)Ward: Etobicoke-Lakeshore,"Phone:Irene Grobelny, 647-281-4410"
Hopscotch Montessori Canada,"55 St Clair Ave W ,110, 112, 130 (St. Clair Ave W/ Yonge St)Ward: Toronto-St. Paul's","Phone:Anna Fedina, 437-987-1953"
Howard Park Children's Centre,30 Marmaduke St (Howard Park / Roncesvalles)Ward: Parkdale-High Park,"Phone:Donalee McNeil, 416-532-3945"
Humber Bay Child Care Centre,50 Cloverhill Rd (Park Lawn / The Queensway)Ward: Etobicoke-Lakeshore,"Phone:Shaza Asanovski, 416-251-8240"
Humber Child Development Centre,205 Humber College Blvd (Rexdale / Hwy. 27)Ward: Etobicoke North,"Phone:Tonja Armstrong-Macinnis, 416-675-5057"
Humbercrest Nursery School,"569 Jane St ,114Ward: Parkdale-High Park","Phone:Roza Azaribousheri, 416-763-7309"
Humbercrest School Age YMCA,14 St Marks Rd (Jane / Dundas W.)Ward: Parkdale-High Park,"Phone:Jessica Carranza, 416-769-6715"
Humberside Montessori School,121 Kennedy Ave (Bloor St W / Kennedy Ave)Ward: Parkdale-High Park,"Phone:Aidan Roman-Crossland, 416-762-8888"
Humbervale Montessori School Inc (Facility #15068),1447 Royal York Rd (Royal York / Eglinton W.)Ward: Etobicoke Centre,"Phone:Andrea Heitz, 416-244-4001"
Humewood Day Care Centre,15 Cherrywood Ave (St. Clair / Christie)Ward: Toronto-St. Paul's,"Phone:Leslie-Ann Darby, 416-658-8886"
Hunter's Glen School Age YMCA,16 Haileybury Dr (Lawrence / Midland)Ward: Scarborough Centre,"Phone:Felicia Bryan, 416-261-9092"
Huron Playschool Co-Operative,383 Huron St (Bloor / Huron)Ward: University-Rosedale,"Phone:Portia Ohemaah-Akoto, 416-977-1109"
Huron Superfriends Inc.,541 Huron St (Bloor / St. George)Ward: University-Rosedale,"Phone:Gertie Dorval, 416-921-7551"
Hurwich Education Centre - Kamin,252 Finch Ave WWard: Willowdale,"Phone:Kevin Knopman, 416-494-7666 ext 503"
Hydro Bright Lights Childcare Centre,"800 Kipling Ave ,Kp 100 Building, Unit 5 (Dundas/Kipling)Ward: Etobicoke-Lakeshore","Phone:Monica Tersigni, 416-207-6856"
Hydrokids - Opg,700 University Ave (College / University)Ward: University-Rosedale,"Phone:Marjeta Guni, 416-551-9537"
Ikebata Nursery School,6 Sakura Way (Don Mills / Wynford Dr.)Ward: Don Valley East,"Phone:Chinatsu Yano, 416-510-1441"
Immaculate Conception Child Care Centre,23 Comay Rd (Black Creek Dr./Eglinton Ave W)Ward: York South-Weston,"Phone:Sindy Torres, 416-760-2809"
Immanuel Child Care Centre,"Every Child Belongs Resource Consultation Staff, Lu Wei, 416-438-3697, Ext. 12253, is available to help this centre and the family when a child has anextra supportneed.","Phone:Ingrid Van Dyk, 416-293-9361"
Impact Childcare Centre,4545 Jane StWard: Humber River-Black Creek,"Phone:Simone Pammenter, 647-429-9749"
Indian Road Crescent School Age YMCA,285 Indian Road Cres (Keele St/Dundas St W)Ward: Parkdale-High Park,"Phone:Melissa De Sousa, 416-763-1195"
Institute Of Child Study After School Daycare,45 Walmer Rd (Spadina / Bloor)Ward: University-Rosedale,"Phone:Anne Marie Lopez, 416-934-4512"
Isabella Walton Child Care (Scarborough)Inc.,835 Birchmount Rd (Birchmount / Eglinton)Ward: Scarborough Southwest,"Phone:Anjali Dubey, 416-750-4598"
Islington Village Childcare Centre,112 Jutland RdWard: Etobicoke-Lakeshore,"Phone:Sharlin Christian, 416-255-2000"
Ivy Montessori School Inc.,1428 Royal York Rd (Royal York Rd/Eglinton Ave W)Ward: Etobicoke Centre,"Phone:Gabriela Ortega, 416-242-8778"
J.R. Wilcox Day Care Centre,231 Ava Rd (Eglinton W. / Marlee Ave.)Ward: Toronto-St. Paul's,"Phone:Regina Abreu, 416-656-1781"
Jackman Community Daycare,79 Jackman Ave (Danforth / Chester)Ward: Toronto-Danforth,"Phone:Kayla Myles, 416-466-8715 ext 226"
Jardin D'Eveil,294 Lawrence Ave E (Bayview & Lawrence)Ward: Don Valley West,"Phone:Celine Lebel, 416-484-6980 ext 4355"
Jesse Ketchum Early Learning & Child Care Centre,7 Berryman St (Davenport / Bay)Ward: University-Rosedale,"Phone:Vilma Liberata Leone, 416-392-5061"
"Jesse Ketchum Junior And Senior Public School, Extended Day Program",61 Davenport Rd (Davenport / Bay)Ward: University-Rosedale,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Jingbao (Downtown)Bilingual Children's Centre (96 Denison Avenue),96 Denison AveWard: Spadina-Fort York,"Phone:Wenbo Chen, 416-603-8885"
Jingbao Bilingual Children's Centre,3105 Don Mills Rd (Don Mills / Finch)Ward: Don Valley North,"Phone:Yan Wang, 416-494-4105"
Jingbao Bilingual Children's Centre - Scarborough,2350 McCowan Rd (McCowan / Finch Ave. E.)Ward: Scarborough North,"Phone:Bing Ma, 416-321-6006"
John A. Leslie Childcare - Scarborough,459 Midland Ave (Midland / Kingston Rd.)Ward: Scarborough Southwest,"Phone:Lynda Campbell, 416-261-3238"
John English YMCA,95 Mimico Ave (Royal York.Mimico Ave)Ward: Etobicoke-Lakeshore,"Phone:Ashley Thompson, 416-930-5467"
John G. Althouse - Princess Margaret,65 Tromley Dr (Eglinton / Martingrove)Ward: Etobicoke Centre,"Phone:Elizabeth Ann Hawkins, 416-394-6989"
John G Diefenbaker Child Care Centre,70 Dean Park Rd (Dean Park Rd & Meadowvale Rd)Ward: Scarborough-Rouge Park,"Phone:Gloria Kanhai, 416-281-4171"
John Ross Robertson Child Centre,130 Glengrove Ave W (Avenue / Lawrence)Ward: Eglinton-Lawrence,"Phone:Christina Piccone, 416-484-4825"
John Wanless Child Care,245 Fairlawn Ave (Lawrence / Avenue Rd.)Ward: Eglinton-Lawrence,"Phone:Fiona Modeste, 416-488-8571"
Jolly Juniors,"1500 Royal York Rd ,37Ward: Etobicoke Centre","Phone:Bosede Ekemezie, 416-666-2127"
Jrcc Preschool Day Care,"5950 Bathurst St ,Unit #109 (Bathurst / Steeles)Ward: York Centre","Phone:Shaina Zaltzman, 416-222-7105 ext 501"
Jubilee Child Care Centre,"55 Emmett Ave ,109 (Jane / Eglinton)Ward: York South-Weston","Phone:Francesca Santoro, 416-530-0722 ext 4019"
Junction Day Care Centre,265 Annette St (Annette / Clendenan)Ward: Parkdale-High Park,"Phone:Tracy Spence, 416-767-2991"
Kateri Kids Child Care Centre,70 Margaret Ave (Finch East / Victoria Park)Ward: Don Valley North,"Phone:Andrea Miele, 416-496-2965"
Keelmount Daycare Centre,99 Mountview Ave (Bloor / Keele)Ward: Parkdale-High Park,"Phone:Jennifer Ayre, 416-763-6824"
Kenlinton Child Care Centre (OperatorStonehill)Facility #16008,2283 Eglinton Ave E (Birchmount / Eglinton)Ward: Scarborough Southwest,"Phone:Chauleyne Bell, 416-759-4525"
Kennedy Road Kiddy Kare - (Kennedy Road Church Of The Nazarene),661 Kennedy Rd (Kennedy / Eglinton)Ward: Scarborough Southwest,"Phone:Helga Galostian, 416-261-1414"
Kensington Kids Early Learning Centre,401 College St (College / Bathurst)Ward: University-Rosedale,"Phone:Elana Rosen, 416-927-0870"
Kepalen Angelic Child Care,1301 Neilson Rd (Neilson Rd / Sewells Rd)Ward: Scarborough-Rouge Park,"Phone:Mbongo Fon Nabila, 647-581-3125"
Kew Beach Day Care Co-Op Inc.,101 Kippendavie Ave (Queen / Woodbine)Ward: Beaches-East York,"Phone:Kristy Dodson, 416-698-6226"
Kew Park Montessori Day School Inc. (Hiawatha Road),79 Hiawatha Rd (Gerrard St. E. / Coxwell Ave.)Ward: Toronto-Danforth,"Phone:Bobbi Jo Laberge, 416-694-6273"
Kiddies Lodge Day Care Centre,764 Ellesmere Rd (Birchmount / Ellesmere)Ward: Scarborough Centre,"Phone:Deborah Otto, 416-298-6092"
Kids & Company - Bloor Street Site,"160 Bloor St E ,Suite 160 (Bloor / Church)Ward: University-Rosedale","Phone:Anna-A Green, 416-924-5437 ext 0"
Kids & Company - Consumers Site,"251 Consumers Rd ,Suite 100 (Victoria Pk. / Shepperd)Ward: Don Valley North","Phone:Mona Hosseini, 416-493-2045 ext 0"
Kids & Company Etobicoke,"3250 Bloor St W ,Et 101 (Islington/Bloor)Ward: Etobicoke-Lakeshore","Phone:Stephanie Samanica, 416-237-0404"
Kids & Company - Finch Site,"5650 Yonge St ,Suite 101 (Yonge / Finch)Ward: Willowdale","Phone:Anita Cao, 416-222-0905 ext 0"
Kids & Company - Front Street Site,"320 Front St W ,Suite 100 (Front / Blue Jay Way)Ward: Spadina-Fort York","Phone:Tanya Arora, 416-345-1543 ext 0"
Kids & Company King And Highline,1100 King St W (King St. West & Dufferin St.)Ward: Spadina-Fort York,"Phone:Natalia Nakonechna, 416-460-3373"
Kids & Company Ltd. - Bloor Christie,703 Bloor St WWard: University-Rosedale,"Phone:Samantha Del Rio-Cuevas, 647-345-5702 ext 0"
Kids & Company Queen West,308 Queen St W (Spadina And Queen St W)Ward: Spadina-Fort York,"Phone:Pam Janes, 416-595-5537 ext 0"
Kids & Company - Rosedale,129 Mount Pleasant Rd (Mt Pleasant Rd/Bloor St E)Ward: University-Rosedale,"Phone:Ashleigh Bundock, 416-922-9814"
Kids & Company Scotia Plaza,"104 Yonge St ,Unit 260 & Unit 360Ward: Toronto Centre","Phone:Anita Baidya, 416-603-2992"
Kids & Company St Andrews,73 Simcoe StWard: Spadina-Fort York,"Phone:Sue Purser, 416-938-8024"
Kids & Company The Stockyards,100 Weston Rd (Weston Rd / St Clair W)Ward: York South-Weston,"Phone:Melissa Garcia-Medeiros, 416-761-9019 ext 0"
Kids Club (Day Care Connection),780 Kingston Rd (Main / Kingston Rd.)Ward: Beaches-East York,"Phone:Nicky Antonoglou, 416-693-6596"
Kids Club Daycare & Learning Centre (OpAaa Childrens Inc.),104 Advance Rd (Bloor St. W. / Islington)Ward: Etobicoke-Lakeshore,"Phone:Caroline Botelho, 416-236-2863"
Kids Connect Daycare,138 Main StWard: Beaches-East York,"Phone:Meghan Clemens, 647-494-9991"
Kids Haven Community Child Care,46 Cresthaven Dr (Finch / Leslie)Ward: Don Valley North,"Phone:Pam Geci, 416-492-8336"
Kids Korner Day Care,180 Westmoreland Ave (Bloor/Dufferin)Ward: Davenport,"Phone:Maryam Nasiri, 416-536-4102"
Kids Way Daycare,369 Broadview AveWard: Toronto-Danforth,"Phone:Gloria De Melo, 416-508-2160"
Kids Zone Daycare Inc.,123 Glendale Ave (Roncesvalles / Queen)Ward: Parkdale-High Park,"Phone:Branka Rados, 416-534-1758"
Kids Zone Daycare On Constance,76 Constance St (Bloor W. / Roncesvales)Ward: Parkdale-High Park,"Phone:Marissa Pereira, 416-551-4354"
Kidz Kare Daycare,"15 York St ,3rd Floor (Lakeshore W. / York St.)Ward: Spadina-Fort York","Phone:Jennifer Roselli, 416-900-1060"
Kiiwednong Aborginal Head Start,"1288 Weston Rd ,1294Ward: York South-Weston","Phone:Amanda Macewen, 416-639-9036"
Kimbercroft Day Nursery 2,"Every Child Belongs Resource Consultation Staff, Vana Micha, 416-438-3697, Ext. 12272, is available to help this centre and the family when a child has anextra supportneed.","Phone:Sandira Namrud, 416-321-1694"
Kinderbrook Montessori School,1 Credit Union DrWard: Don Valley East,"Phone:Nourin Thayani, 416-759-5463"
Kindercircle Day Care,150 Kilgour Rd (Bayview / Eglinton)Ward: Don Valley West,"Phone:Kenna Paul, 416-424-3818"
Kinder College Early Learning Centre,"25 Nicholas Ave ,1 (River St And Shuter Ave)Ward: Toronto Centre","Phone:Khushdeep Kaur, 416-249-9881"
Kinder College Early Learning Centre,218 Richmond St W (Richmond St. W. / MC Caul St)Ward: Spadina-Fort York,"Phone:Manpreet Sidhu, 416-249-9881 ext 301"
Kinder Grove St. Clair,94 Vaughan RdWard: Toronto-St. Paul's,"Phone:Marziyeh Ghavami-Monfared, 416-654-1678"
King George B & A School Program,25 Rexford Rd (Jane / Dundas)Ward: Parkdale-High Park,"Phone:Melissa Oliveira, 416-509-0159"
Kingston Road East Early Learning And Child Care Centre,3392 Kingston Rd (Kingston / Markham)Ward: Scarborough Southwest,"Phone:Linda Darlene Tisman, 416-396-3755"
Kingsview Child Care,340 Dixon Rd (Dixon / Islington)Ward: Etobicoke North,"Phone:Pauline Holt, 416-249-7601"
Kingsway Nursery School,"Toronto Children's Services Consultant, Michelle Noel, 416-338-5953, is the City contact for this centre.Every Child Belongs Resource Consultation Staff, Edite Pontes, 416-622-8833, Ext. 214, is available to help this centre and the family when a child has anextra supportneed.To contact the child care centre directly, please call the child care contact listed at the top of this page.","Phone:Sara Cuda, 416-233-1491"
Kipling Early Learning & Child Care Centre,2233 Kipling Ave (Kipling Ave. / Rexdale Blvd.)Ward: Etobicoke North,"Phone:Luisa Quadrini, 416-397-9961"
Knob Hill Day Nursery,23 Gage Ave (Brimley / Lawrence)Ward: Scarborough Centre,"Phone:Annalyn Narciso, 416-439-9864"
Knob Hill School Age YMCA,25 Seminole Ave (Brimley / Eglinton)Ward: Scarborough Centre,"Phone:Erin Andersen, 416-296-9907"
Kodomoen Childcare Centre,"630 Spadina Ave ,2nd Floor (College / Spadina)Ward: University-Rosedale","Phone:Shizuka Hosein, 416-599-2426"
Kreative Kids Child Care Centre,"This non-profit, licensed child care,serves children 1 year 6 months to 12 years.It is located in St. Henry's Catholic School.A child carefee subsidymay be available to help you with the cost of child care.This location participates in theCanada-Wide Early Learning and Child Caresystem.","Phone:Lesley-Anne Hercules, 647-438-9411"
Kreative Kids Terry Fox,185 Wintermute BlvdWard: Scarborough-Agincourt,"Phone:Lesley-Anne Hercules, 647-438-9411"
La Citadelle International Academy Of Arts & Science,36 Scarsdale RdWard: Don Valley East,"Phone:Alfred Abouchar, 416-385-9685"
Lady Bug Daycare Centre,400 Burnhamthorpe Rd (Burnhamthorpe / East Mall)Ward: Etobicoke Centre,"Phone:Reena Joseph, 416-626-1251"
Lakeshore Community Child Care Centre,101 Seventh St (Islington / Lake Shore Blvd. W)Ward: Etobicoke-Lakeshore,"Phone:Kwameah Anoush Bennett, 416-394-7601"
Lakeside Co-Operative Playschool Inc.,2226 Queen St E (Queen St E & Beech Ave)Ward: Beaches-East York,"Phone:Chris Probst, 416-524-5676"
La Maison Du Dodo,582 Oakwood Ave (Oakwood / Eglinton)Ward: Toronto-St. Paul's,"Phone:Vanesha C. Khadaroo, 416-656-5555"
Lambton - Kingsway Before & After School Program Inc.,525 Prince Edward Dr N (Dundas W. / Royal York)Ward: Etobicoke-Lakeshore,"Phone:Laura Van De Kraats, 416-394-6400"
Lambton Park Child Care Centre,50 Bernice Cres (Jane / St. Clair W.)Ward: York South-Weston,"Phone:Karin Dewinter, 416-762-5177"
Lamp Jr YMCA,185 Fifth St (Burmingham / Islington)Ward: Etobicoke-Lakeshore,"Phone:Filomena Zita, 416-252-8544"
Lansing Co-Op Nursery School,80 Church Ave (Yonge / Finch)Ward: Willowdale,"Phone:Leslie Beveridge, 416-225-4581"
La Petite Ecole,130 Kennedy Ave (Runnymede/Bloor)Ward: Parkdale-High Park,"Phone:Jennifer Brown, 416-767-2020"
Lawrence Heights Community Day Care Centre,10 Flemington Rd (William R. Allen / Bathurst)Ward: Eglinton-Lawrence,"Phone:Harriette Noel-Humes, 416-787-4105"
Lawrence Orton Early Learning & Child Care Centre,3947 Lawrence Ave EWard: Scarborough-Guildwood,"Phone:Eileen Marquez, 416-392-5692"
Lawrence Park School,2180 Bayview AveWard: Don Valley West,"Phone:Rochelle Navarro, 416-489-4459"
Learning Garden Childcare,69 Six Point Rd (Islington / Queensway)Ward: Etobicoke-Lakeshore,"Phone:Amal Akram, 416-231-8998"
Learning Jungle Briarcrest,1982 Islington AveWard: Etobicoke Centre,"Phone:Amanda Katryan, 416-244-8691"
Learning Jungle Buttonwood,100 Sidney Belsey Cres (Jane & Weston)Ward: York South-Weston,"Phone:Sunita Mody, 416-241-3800"
Leaside Children's House,839 Millwood Rd (Millwood / Laird)Ward: Don Valley West,"Phone:Jim Karaiskakis, 416-425-0101"
Leaside Day Care Centre,206 Laird Dr (Laird / Eglinton)Ward: Don Valley West,"Phone:Frances Quin, 416-487-5862"
Ledbury Park Child Care Program,95 Falkirk St (Bathurst / Lawrence)Ward: Eglinton-Lawrence,"Phone:Christine File, 416-782-2539"
Lee Wiggins Childcare Centre (The),"4700 Keele St ,Room 201 (Keele / Steeles W.)Ward: Humber River-Black Creek","Phone:Michelle Pham, 416-736-5959"
Lef - George Harvey Child Care Centre,1700 Keele St (Eglinton / Keele)Ward: York South-Weston,"Phone:Rajanpreet Kaur, 416-658-9244"
Lef - Roseland Day Care,990 Jane St (Jane / Eglinton W.)Ward: York South-Weston,"Phone:Juliana Donkor, 416-763-0068"
Lef- Silverthorn Early Learning Earth Centre,2700 Eglinton Ave W (Keele / Eglinton W.)Ward: York South-Weston,"Phone:Daisy Thi Dieu Hoang, 416-653-9702"
Lef - Vaughan Road Infant And Toddler Centre,529 Vaughan Rd (Vaughan Rd. / Oakwood)Ward: Toronto-St. Paul's,"Phone:Espy Castillo, 416-658-1874"
Le Jardin De Moliere,"Toronto Children's Services Consultant, Kelly O'Gorman, 416-397-7606, is the City contact for this centre.Every Child Belongs Resource Consultation Staff, Laila Fateh, 647-888-5243, is available to help this centre and the family when a child has anextra supportneed.To contact the child care centre directly, please call the child care contact listed at the top of this page.","Phone:Valencia Yesica, 647-774-8628"
Le Jardin De Moliere Inc,"3029 Lake Shore Blvd W ,2nd FloorWard: Etobicoke-Lakeshore","Phone:Yesica Valencia, 647-774-8628"
Leonardo Da Vinci Academy Of Arts & Science,901 Lawrence Ave WWard: Eglinton-Lawrence,"Phone:Susan Lee, 416-247-6137"
Le Petit Chaperon Rouge - Coxwell,419 Coxwell Ave (Coxwell / Gerrard)Ward: Beaches-East York,"Phone:Elena Coderre, 416-463-3955"
Le Petit Chaperon Rouge - Etobicoke (Facility #12270),755 Royal York Rd (Royal York / Norseman)Ward: Etobicoke-Lakeshore,"Phone:Axelle Bailey, 416-236-4557"
